order_id,customer_id,restaurant_name,cuisine_type,cost_of_the_order,day_of_the_week,rating,food_preparation_time,delivery_time
1477722,347263,Dos Caminos,Mexican,12.08,Weekday,5,26,26
1478319,84087,The Meatball Shop,Italian,16.49,Weekend,3,22,28
1477650,284835,Shake Shack,American,15.57,Weekend,5,32,17
1477960,375098,12 Chairs,Middle Eastern,29.1,Weekend,Not given,22,26
1477278,347263,Hummus Place,Middle Eastern,16.15,Weekend,4,30,28
1476793,77339,Rubirosa,Italian,9.17,Weekend,4,27,25
1478228,86233,TAO,Japanese,15.28,Weekend,4,33,22
1478435,350180,RedFarm Hudson,Chinese,20.32,Weekday,5,30,29
1476847,114085,The Meatball Shop,Italian,24.3,Weekend,4,29,15
1478058,200631,Amy Ruth's,Southern,7.38,Weekday,4,24,29
1477584,275689,Cafe Habana,Mexican,16.98,Weekday,4,23,30
1477684,39275,TAO,Japanese,15.28,Weekend,5,20,27
1478223,234089,Blue Ribbon Sushi,Japanese,8.68,Weekend,5,34,27
1476640,142773,Hibino,Japanese,14.02,Weekend,4,28,15
1476933,375704,Shake Shack,American,32.98,Weekend,3,22,21
1477537,104130,Blue Ribbon Sushi,Japanese,15.76,Weekend,Not given,30,26
1477338,81110,Hill Country Fried Chicken,Southern,11.64,Weekend,4,35,21
1478443,96943,Cafe Mogador,Middle Eastern,29.88,Weekend,4,20,17
1477932,170221,Shake Shack,American,16.98,Weekend,Not given,22,21
1477553,52037,L'Express,French,22.02,Weekday,Not given,21,27
1477492,64658,Blue Ribbon Sushi Bar & Grill,Japanese,16.2,Weekday,5,27,27
1477795,169478,RedFarm Broadway,Chinese,15.96,Weekday,4,35,33
1476553,128224,Osteria Morini,Italian,9.17,Weekend,Not given,25,22
1477293,316402,The Meatball Shop,American,12.13,Weekend,Not given,23,23
1477926,72639,P.J. Clarke's,American,12.18,Weekend,3,22,28
1477079,49086,Jack's Wife Freda,Mediterranean,12.13,Weekend,4,33,23
1477959,175290,Otto Enoteca Pizzeria,Italian,29.05,Weekend,5,24,18
1478138,50323,Rubirosa,Italian,24.3,Weekend,Not given,30,26
1477689,203442,Terakawa Ramen,Japanese,19.6,Weekday,Not given,23,26
1477879,362961,ilili Restaurant,Middle Eastern,16.49,Weekend,4,30,28
1477308,321255,Shake Shack,American,5.63,Weekend,Not given,27,16
1477422,64401,The Meatball Shop,Italian,16.54,Weekday,5,32,24
1476822,284256,Empanada Mama (closed),Mexican,12.13,Weekend,5,21,22
1477058,65779,The Kati Roll Company,Indian,24.35,Weekday,Not given,33,29
1478133,114085,Blue Ribbon Sushi Bar & Grill,Japanese,19.4,Weekend,Not given,28,20
1476876,325285,RedFarm Broadway,Chinese,5.48,Weekend,3,27,18
1477735,302769,Blue Ribbon Fried Chicken,American,29.05,Weekend,5,29,20
1476585,141918,S'MAC,American,12.37,Weekend,4,30,28
1477388,396432,Blue Ribbon Sushi Izakaya,Japanese,9.7,Weekend,Not given,25,15
1477768,279895,Shake Shack,American,9.6,Weekday,4,35,28
1477222,348096,The Meatball Shop,Italian,11.64,Weekend,4,23,24
1477261,76938,Sushi of Gari,Japanese,31.43,Weekend,Not given,21,27
1477423,80466,J. G. Melon,American,14.6,Weekend,5,32,24
1477134,361654,The Meatball Shop,Italian,13.53,Weekend,5,22,24
1477590,145952,Blue Ribbon Sushi,Japanese,29.15,Weekday,Not given,26,24
1477365,61181,Shake Shack,American,14.07,Weekend,5,33,25
1477517,77793,The Meatball Shop,Italian,29.15,Weekend,5,23,30
1477180,154339,Chipotle Mexican Grill $1.99 Delivery,Mexican,29.15,Weekday,Not given,21,24
1477536,105164,Piccolo Angolo,Italian,15.91,Weekend,4,26,26
1476747,115213,Junoon,Indian,9.22,Weekday,Not given,30,32
1477567,175290,The Meatball Shop,Italian,9.17,Weekend,Not given,30,30
1477137,157578,P.J. Clarke's,American,14.07,Weekday,5,33,26
1477936,133202,Blue Ribbon Sushi,Japanese,9.17,Weekend,Not given,27,29
1478112,232542,The Meatball Shop,Italian,22.36,Weekend,4,35,21
1478185,97079,Benihana,Japanese,5.77,Weekend,Not given,22,22
